date,time
30.04.2020,1.44
29.04.2020,1.48
28.04.2020,1.57
27.04.2020,1.06
26.04.2020,0.87
25.04.2020,1.34
24.04.2020,1.00
23.04.2020,1.21
22.04.2020,0.89
21.04.2020,1.13
20.04.2020,1.15
19.04.2020,0.70
31.05.2020,1.25
30.05.2020,1.25
29.05.2020,1.77
28.05.2020,1.91
27.05.2020,2.03
26.05.2020,2.28
25.05.2020,1.71
24.05.2020,1.16
23.05.2020,1.56
22.05.2020,1.79
21.05.2020,1.85
20.05.2020,1.81
19.05.2020,2.08
18.05.2020,1.76
17.05.2020,1.33
16.05.2020,1.00
15.05.2020,1.73
14.05.2020,1.44
13.05.2020,1.87
12.05.2020,1.85
11.05.2020,2.66
10.05.2020,1.11
09.05.2020,1.10
08.05.2020,1.54
07.05.2020,1.69
06.05.2020,1.47
05.05.2020,1.52
04.05.2020,1.39
03.05.2020,0.85
02.05.2020,1.13
01.05.2020,1.19
30.06.2020,3.14
29.06.2020,4.80
28.06.2020,3.27
27.06.2020,3.21
26.06.2020,3.32
25.06.2020,3.75
24.06.2020,2.16
23.06.2020,2.53
22.06.2020,2.67
21.06.2020,1.95
20.06.2020,1.55
19.06.2020,3.22
18.06.2020,3.42
17.06.2020,2.49
16.06.2020,2.94
15.06.2020,1.92
14.06.2020,3.91
13.06.2020,2.73
12.06.2020,3.51
11.06.2020,2.47
10.06.2020,2.33
09.06.2020,2.49
08.06.2020,2.69
07.06.2020,1.42
06.06.2020,1.89
05.06.2020,1.67
04.06.2020,1.91
03.06.2020,2.29
02.06.2020,2.61
01.06.2020,1.81
31.07.2020,4.17
30.07.2020,2.81
29.07.2020,4.54
28.07.2020,5.03
27.07.2020,3.16
26.07.2020,3.74
25.07.2020,2.98
24.07.2020,4.34
23.07.2020,3.14
22.07.2020,3.11
21.07.2020,4.06
20.07.2020,4.14
19.07.2020,2.37
18.07.2020,3.26
17.07.2020,2.80
16.07.2020,2.95
15.07.2020,4.26
14.07.2020,2.23
13.07.2020,2.89
12.07.2020,2.83
11.07.2020,3.46
10.07.2020,3.34
09.07.2020,3.26
08.07.2020,3.79
07.07.2020,3.16
06.07.2020,3.74
05.07.2020,2.55
04.07.2020,3.31
03.07.2020,2.90
02.07.2020,3.14
01.07.2020,2.66
31.08.2020,4.28
30.08.2020,3.83
29.08.2020,4.39
28.08.2020,4.89
27.08.2020,4.16
26.08.2020,8.03
25.08.2020,3.92
24.08.2020,3.62
23.08.2020,3.62
22.08.2020,4.40
21.08.2020,4.53
20.08.2020,4.32
19.08.2020,4.46
18.08.2020,4.59
17.08.2020,5.21
16.08.2020,5.10
15.08.2020,4.85
14.08.2020,4.63
13.08.2020,4.73
12.08.2020,5.80
11.08.2020,5.22
10.08.2020,3.73
09.08.2020,5.94
08.08.2020,3.33
07.08.2020,4.50
06.08.2020,3.72
05.08.2020,3.69
04.08.2020,3.31
03.08.2020,2.89
02.08.2020,4.08
01.08.2020,3.30
30.09.2020,5.55
29.09.2020,6.46
28.09.2020,8.05
27.09.2020,4.38
26.09.2020,3.12
25.09.2020,6.25
24.09.2020,6.81
23.09.2020,5.50
22.09.2020,5.04
21.09.2020,6.75
20.09.2020,3.37
19.09.2020,3.12
18.09.2020,5.67
17.09.2020,4.70
16.09.2020,5.51
15.09.2020,4.28
14.09.2020,5.04
13.09.2020,4.52
12.09.2020,3.74
11.09.2020,4.83
10.09.2020,5.45
09.09.2020,4.54
08.09.2020,4.90
07.09.2020,4.70
06.09.2020,3.73
05.09.2020,3.32
04.09.2020,5.57
03.09.2020,5.47
02.09.2020,4.38
01.09.2020,7.09
31.10.2020,2.35
30.10.2020,3.35
29.10.2020,4.24
28.10.2020,3.40
27.10.2020,3.72
26.10.2020,3.89
25.10.2020,2.64
24.10.2020,2.67
23.10.2020,3.39
22.10.2020,3.64
21.10.2020,3.82
20.10.2020,4.03
19.10.2020,3.40
18.10.2020,3.14
17.10.2020,3.12
16.10.2020,5.73
15.10.2020,5.90
14.10.2020,6.91
13.10.2020,4.78
12.10.2020,4.10
11.10.2020,3.88
10.10.2020,3.69
09.10.2020,4.76
08.10.2020,4.57
07.10.2020,3.80
06.10.2020,4.41
05.10.2020,5.31
04.10.2020,4.82
03.10.2020,3.34
02.10.2020,5.39
01.10.2020,5.48
30.11.2020,2.36
29.11.2020,2.12
28.11.2020,1.58
27.11.2020,3.07
26.11.2020,2.88
25.11.2020,3.67
24.11.2020,3.59
23.11.2020,2.94
22.11.2020,2.07
21.11.2020,2.44
20.11.2020,3.56
19.11.2020,3.29
18.11.2020,3.69
17.11.2020,2.39
16.11.2020,2.87
15.11.2020,1.41
14.11.2020,1.76
13.11.2020,3.41
12.11.2020,4.29
11.11.2020,2.94
10.11.2020,3.17
09.11.2020,3.58
08.11.2020,2.21
07.11.2020,2.30
06.11.2020,4.20
05.11.2020,2.96
04.11.2020,3.67
03.11.2020,3.07
02.11.2020,2.87
01.11.2020,2.55
31.12.2020,0.77
30.12.2020,0.80
29.12.2020,1.49
28.12.2020,1.98
27.12.2020,1.03
26.12.2020,0.93
25.12.2020,0.87
24.12.2020,0.66
23.12.2020,1.37
22.12.2020,1.48
21.12.2020,2.40
20.12.2020,1.65
19.12.2020,1.61
